Group,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,Weighted average of eight capital cities
All groups,0.9,0.9,1.9,0.5,0.5,0.8,0.7,0.9,0.9
Food & non-alcoholic beverages,1,1.2,1.9,1.2,1.3,1.5,1.4,1,1.2
Alcohol & tobacco,1.3,1.1,1.4,0.9,1.3,1.4,1.1,1.7,1.2
Clothing & footwear,-0.5,-0.5,-2.2,-2,-0.2,-1.5,0.4,-1.7,-0.8
Housing,1.4,1.1,6.7,1.7,-1.6,1.2,1.1,0.5,1.7
"Furnishings, household equipment and services",-1.1,-0.9,-0.5,-1.4,-0.6,-0.7,-0.3,-0.2,-0.9
Health,2.8,2.9,3.3,1.6,3.1,2.1,2.4,3.9,2.9
Transport,1,0.5,1.4,0,1.5,1.2,2.4,2.7,1
Communication,-0.3,-0.3,-0.4,-0.4,-0.3,-0.3,-0.4,-0.3,-0.3
Recreation & culture,-1.5,-1.1,-2.6,-2,-1.2,-1.5,-3.7,-1.9,-1.6
Education,5.1,5.5,4.7,4.3,5.5,4.5,5,6,5.2
Insurance & financial services,0.3,0.7,1.1,-0.7,0.9,0.7,0.5,1.4,0.5
